Asset_ID,Resource_Name,Resource_Type,Public_Access,Open_Ports,Encryption_Status,IAM_Risk,Security_Group_Risk,Vulnerability_Count,Patch_Status,Logging_Enabled,Backup_Enabled,Dependency_Count,Misconfiguration_Count,Risk_Score,Risk_Level
ASSET-038,Cloud-Resource-38,VPC,No,15,No,High,Medium,1,Outdated,No,No,9,6,78,Critical
ASSET-039,Cloud-Resource-39,EC2,Yes,14,Yes,High,Medium,4,Outdated,Yes,No,3,5,65,High
ASSET-040,Cloud-Resource-40,RDS,No,18,No,Low,High,9,Outdated,Yes,No,5,6,76,Critical
ASSET-041,Cloud-Resource-41,Lambda,No,19,No,Medium,Medium,2,Updated,No,No,1,4,48,Medium
ASSET-042,Cloud-Resource-42,RDS,Yes,17,Yes,Medium,Medium,5,Outdated,Yes,Yes,7,3,37,Medium
ASSET-043,Cloud-Resource-43,Lambda,No,14,Yes,High,Medium,3,Outdated,No,No,1,5,66,High
ASSET-044,Cloud-Resource-44,Lambda,No,7,Yes,Medium,High,7,Updated,Yes,Yes,5,3,42,Medium
ASSET-045,Cloud-Resource-45,Lambda,Yes,2,No,Low,High,4,Updated,Yes,No,4,4,52,High
ASSET-046,Cloud-Resource-46,S3,No,17,Yes,Low,High,1,Outdated,Yes,No,7,4,50,High
ASSET-047,Cloud-Resource-47,RDS,Yes,14,No,Low,Low,9,Outdated,No,No,10,7,90,Critical
ASSET-048,Cloud-Resource-48,EC2,Yes,14,Yes,Medium,Low,7,Updated,Yes,No,9,4,48,Medium
ASSET-049,Cloud-Resource-49,VPC,No,6,Yes,High,High,2,Updated,No,No,1,5,64,High
ASSET-050,Cloud-Resource-50,Lambda,Yes,3,No,Medium,Low,3,Updated,No,Yes,1,3,36,Medium
ASSET-051,Cloud-Resource-51,Lambda,Yes,7,No,Medium,High,8,Outdated,No,Yes,8,7,94,Critical
ASSET-052,Cloud-Resource-52,IAM,Yes,12,Yes,Low,Low,7,Updated,No,Yes,5,4,51,High
ASSET-053,Cloud-Resource-53,Lambda,No,18,Yes,Low,Medium,0,Outdated,No,No,1,4,58,High
ASSET-054,Cloud-Resource-54,RDS,Yes,20,No,Medium,High,9,Outdated,Yes,No,1,7,88,Critical
ASSET-055,Cloud-Resource-55,IAM,Yes,16,No,Medium,Medium,10,Outdated,Yes,Yes,4,5,64,High
ASSET-056,Cloud-Resource-56,S3,No,12,Yes,Low,Medium,3,Outdated,No,No,9,4,57,High
ASSET-057,Cloud-Resource-57,VPC,Yes,3,No,High,High,10,Outdated,No,No,4,8,100,Critical
ASSET-058,Cloud-Resource-58,VPC,No,18,Yes,High,High,3,Updated,Yes,No,3,4,58,High
ASSET-059,Cloud-Resource-59,Lambda,No,12,Yes,High,Low,8,Updated,Yes,No,8,4,58,High
ASSET-060,Cloud-Resource-60,S3,Yes,2,Yes,Medium,Low,7,Updated,Yes,Yes,1,2,26,Medium
ASSET-061,Cloud-Resource-61,EC2,No,0,Yes,Low,Medium,9,Outdated,Yes,No,4,3,45,Medium
ASSET-062,Cloud-Resource-62,EC2,No,9,Yes,Medium,Low,4,Updated,No,No,3,3,44,Medium
ASSET-063,Cloud-Resource-63,EC2,No,1,No,High,Low,4,Updated,No,Yes,1,3,43,Medium
ASSET-064,Cloud-Resource-64,EC2,Yes,3,Yes,Low,High,4,Outdated,No,Yes,9,4,56,High
ASSET-065,Cloud-Resource-65,RDS,Yes,12,Yes,Low,Low,9,Updated,No,Yes,1,4,55,High
ASSET-066,Cloud-Resource-66,EC2,No,5,No,Medium,Low,2,Updated,No,No,5,3,37,Medium
ASSET-067,Cloud-Resource-67,VPC,No,0,Yes,Low,High,6,Outdated,Yes,Yes,6,3,38,Medium
ASSET-068,Cloud-Resource-68,IAM,Yes,0,No,Medium,High,7,Outdated,No,Yes,6,6,80,Critical
ASSET-069,Cloud-Resource-69,IAM,No,17,No,High,High,4,Outdated,Yes,Yes,5,5,61,High
ASSET-070,Cloud-Resource-70,RDS,No,8,No,Low,Low,1,Updated,No,No,1,4,49,Medium
ASSET-071,Cloud-Resource-71,VPC,No,8,No,High,High,8,Updated,No,Yes,9,6,75,Critical
ASSET-072,Cloud-Resource-72,VPC,Yes,17,Yes,Medium,Medium,8,Outdated,No,No,1,6,73,High
ASSET-073,Cloud-Resource-73,VPC,No,1,No,Medium,High,8,Updated,No,Yes,9,4,57,High
ASSET-074,Cloud-Resource-74,IAM,No,13,Yes,Medium,High,9,Updated,Yes,Yes,9,3,36,Medium
ASSET-075,Cloud-Resource-75,RDS,No,0,Yes,Low,Medium,6,Outdated,Yes,Yes,8,2,26,Medium
ASSET-076,Cloud-Resource-76,RDS,Yes,4,Yes,High,Low,0,Outdated,Yes,No,4,4,50,High
ASSET-077,Cloud-Resource-77,IAM,Yes,17,No,Medium,Low,4,Outdated,Yes,Yes,7,4,50,High
ASSET-078,Cloud-Resource-78,Lambda,Yes,12,No,Medium,Medium,9,Updated,Yes,Yes,10,4,55,High
ASSET-079,Cloud-Resource-79,RDS,No,1,No,Medium,Medium,0,Updated,Yes,No,3,2,31,Medium
ASSET-080,Cloud-Resource-80,VPC,No,6,No,Low,High,5,Updated,No,Yes,5,4,54,High
ASSET-081,Cloud-Resource-81,EC2,Yes,7,No,Low,Low,10,Updated,Yes,No,1,5,60,High
ASSET-082,Cloud-Resource-82,VPC,No,10,No,High,Low,3,Outdated,No,Yes,10,5,69,High
ASSET-083,Cloud-Resource-83,S3,No,13,No,Medium,High,2,Outdated,Yes,Yes,2,4,55,High
ASSET-084,Cloud-Resource-84,Lambda,Yes,15,Yes,Medium,High,10,Updated,Yes,No,3,5,68,High
ASSET-085,Cloud-Resource-85,RDS,No,18,Yes,High,Medium,1,Updated,No,Yes,1,3,41,Medium
ASSET-086,Cloud-Resource-86,VPC,No,0,Yes,High,Medium,0,Updated,No,Yes,3,2,30,Medium
ASSET-087,Cloud-Resource-87,VPC,Yes,8,Yes,High,Low,7,Outdated,Yes,No,2,6,80,Critical
ASSET-088,Cloud-Resource-88,S3,Yes,4,Yes,Medium,Low,9,Updated,No,Yes,6,3,42,Medium
ASSET-089,Cloud-Resource-89,EC2,No,0,Yes,Medium,Low,1,Updated,No,No,4,2,28,Medium
ASSET-090,Cloud-Resource-90,S3,No,6,Yes,High,High,10,Updated,Yes,No,6,5,64,High
ASSET-091,Cloud-Resource-91,EC2,No,7,Yes,High,Low,5,Outdated,Yes,No,9,4,57,High
ASSET-092,Cloud-Resource-92,S3,Yes,15,No,High,Low,5,Outdated,Yes,Yes,6,5,66,High
ASSET-093,Cloud-Resource-93,EC2,Yes,9,Yes,High,Low,0,Outdated,Yes,Yes,9,4,55,High
ASSET-094,Cloud-Resource-94,S3,Yes,10,Yes,Low,Low,8,Outdated,Yes,No,10,5,66,High
ASSET-095,Cloud-Resource-95,RDS,No,3,Yes,Medium,Medium,7,Outdated,Yes,Yes,10,2,29,Medium
ASSET-096,Cloud-Resource-96,EC2,Yes,0,No,Low,High,4,Outdated,Yes,No,1,5,69,High
ASSET-097,Cloud-Resource-97,VPC,No,17,No,Low,High,6,Outdated,No,No,7,7,84,Critical
ASSET-098,Cloud-Resource-98,S3,No,9,No,High,Low,2,Outdated,Yes,No,2,5,67,High
ASSET-099,Cloud-Resource-99,Lambda,No,11,Yes,Medium,Low,1,Updated,Yes,Yes,6,1,12,Low
ASSET-100,Cloud-Resource-100,VPC,No,14,No,High,Medium,0,Updated,Yes,No,2,4,51,High
ASSET-101,Cloud-Resource-101,S3,No,10,Yes,Low,High,3,Updated,Yes,No,9,3,39,Medium
ASSET-102,Cloud-Resource-102,RDS,Yes,4,Yes,Low,Medium,6,Outdated,No,Yes,6,4,50,High
ASSET-103,Cloud-Resource-103,EC2,No,14,No,High,Medium,3,Outdated,Yes,Yes,3,4,56,High
ASSET-104,Cloud-Resource-104,S3,Yes,3,Yes,Low,High,7,Updated,No,No,10,5,61,High
ASSET-105,Cloud-Resource-105,S3,Yes,9,No,High,High,2,Updated,Yes,Yes,5,5,60,High
ASSET-106,Cloud-Resource-106,VPC,No,14,No,Low,High,7,Updated,Yes,Yes,6,4,55,High
ASSET-107,Cloud-Resource-107,IAM,Yes,3,No,High,Medium,10,Outdated,No,Yes,8,6,77,Critical
ASSET-108,Cloud-Resource-108,RDS,No,0,Yes,High,Medium,1,Updated,Yes,No,1,2,30,Medium
ASSET-109,Cloud-Resource-109,S3,Yes,5,No,High,High,2,Outdated,No,Yes,2,6,73,High
ASSET-110,Cloud-Resource-110,RDS,No,1,Yes,Medium,Low,9,Updated,Yes,No,7,2,25,Medium
ASSET-111,Cloud-Resource-111,Lambda,Yes,0,No,Low,High,6,Outdated,Yes,No,9,6,77,Critical
ASSET-112,Cloud-Resource-112,S3,Yes,7,Yes,Medium,Low,1,Outdated,Yes,Yes,4,3,42,Medium
ASSET-113,Cloud-Resource-113,IAM,Yes,15,Yes,Low,Low,2,Outdated,Yes,Yes,5,3,46,Medium
ASSET-114,Cloud-Resource-114,VPC,Yes,7,No,Medium,Medium,9,Outdated,No,No,6,7,84,Critical
ASSET-115,Cloud-Resource-115,EC2,Yes,19,No,Low,High,3,Updated,No,Yes,9,5,65,High
ASSET-116,Cloud-Resource-116,RDS,No,18,Yes,Low,Low,8,Updated,Yes,Yes,6,2,26,Medium
ASSET-117,Cloud-Resource-117,RDS,No,11,Yes,High,Medium,10,Outdated,Yes,Yes,1,4,58,High
ASSET-118,Cloud-Resource-118,VPC,Yes,20,Yes,Low,Medium,7,Outdated,Yes,No,4,5,65,High
ASSET-119,Cloud-Resource-119,S3,Yes,0,Yes,Low,Medium,7,Updated,Yes,No,10,3,42,Medium
ASSET-120,Cloud-Resource-120,EC2,No,9,Yes,Medium,Medium,1,Outdated,Yes,No,4,3,39,Medium
ASSET-121,Cloud-Resource-121,EC2,No,20,No,Low,High,7,Updated,Yes,Yes,6,4,55,High
ASSET-122,Cloud-Resource-122,EC2,Yes,17,Yes,Low,Low,10,Updated,No,No,3,5,70,High
ASSET-123,Cloud-Resource-123,RDS,Yes,1,Yes,High,Medium,2,Outdated,Yes,No,8,4,48,Medium
ASSET-124,Cloud-Resource-124,IAM,No,7,No,Medium,Low,8,Outdated,No,Yes,8,5,61,High
ASSET-125,Cloud-Resource-125,IAM,No,14,Yes,Medium,Low,0,Outdated,No,No,8,4,57,High
ASSET-126,Cloud-Resource-126,S3,No,4,Yes,Low,Low,5,Updated,Yes,No,10,1,14,Low
ASSET-127,Cloud-Resource-127,VPC,Yes,13,No,Medium,Low,0,Updated,No,No,9,5,65,High
ASSET-128,Cloud-Resource-128,S3,Yes,10,Yes,Low,Medium,4,Outdated,No,Yes,5,4,53,High
ASSET-129,Cloud-Resource-129,Lambda,No,18,Yes,Medium,Medium,5,Updated,No,Yes,8,2,25,Medium
ASSET-130,Cloud-Resource-130,RDS,No,14,Yes,Medium,Low,7,Updated,No,Yes,4,3,44,Medium
ASSET-131,Cloud-Resource-131,RDS,No,20,Yes,Medium,High,8,Updated,Yes,Yes,2,3,46,Medium
ASSET-132,Cloud-Resource-132,RDS,No,17,No,Medium,Medium,1,Outdated,No,Yes,6,4,49,Medium
ASSET-133,Cloud-Resource-133,RDS,No,6,No,Medium,High,2,Updated,No,Yes,2,4,49,Medium
ASSET-134,Cloud-Resource-134,VPC,No,12,Yes,Medium,Low,9,Updated,Yes,Yes,3,2,30,Medium
ASSET-135,Cloud-Resource-135,IAM,Yes,13,No,High,Low,1,Outdated,No,Yes,1,6,78,Critical
ASSET-136,Cloud-Resource-136,Lambda,No,1,Yes,Medium,High,7,Outdated,No,No,6,5,66,High
ASSET-137,Cloud-Resource-137,RDS,Yes,9,No,Medium,Low,8,Updated,Yes,Yes,3,4,58,High
ASSET-138,Cloud-Resource-138,EC2,Yes,1,No,High,Low,4,Outdated,Yes,No,6,5,61,High
ASSET-139,Cloud-Resource-139,Lambda,No,10,No,Medium,Low,0,Updated,Yes,Yes,8,2,27,Medium
ASSET-140,Cloud-Resource-140,VPC,No,13,Yes,High,Low,5,Updated,No,No,4,4,55,High
ASSET-141,Cloud-Resource-141,RDS,Yes,16,Yes,Medium,High,5,Updated,Yes,Yes,5,3,39,Medium
ASSET-142,Cloud-Resource-142,Lambda,No,8,No,Medium,Low,9,Outdated,No,Yes,7,5,64,High
ASSET-143,Cloud-Resource-143,RDS,Yes,12,Yes,High,Medium,3,Updated,No,No,10,5,68,High
ASSET-144,Cloud-Resource-144,S3,Yes,6,No,Low,High,4,Updated,No,No,4,6,78,Critical
ASSET-145,Cloud-Resource-145,IAM,No,10,No,High,Medium,1,Outdated,No,Yes,5,5,68,High
ASSET-146,Cloud-Resource-146,EC2,No,15,No,Low,Medium,8,Updated,Yes,Yes,8,3,44,Medium
ASSET-147,Cloud-Resource-147,RDS,Yes,6,No,Medium,High,6,Outdated,No,No,10,8,100,Critical
ASSET-148,Cloud-Resource-148,S3,Yes,5,No,High,High,5,Outdated,No,Yes,6,6,81,Critical
ASSET-149,Cloud-Resource-149,RDS,Yes,9,No,High,High,10,Outdated,Yes,Yes,6,7,90,Critical
ASSET-150,Cloud-Resource-150,Lambda,No,0,No,Medium,Medium,1,Updated,Yes,Yes,6,1,17,Low
ASSET-151,Cloud-Resource-151,Lambda,No,2,Yes,Low,Low,9,Updated,Yes,No,1,2,26,Medium
ASSET-152,Cloud-Resource-152,EC2,Yes,8,Yes,Medium,Medium,5,Updated,No,Yes,7,3,44,Medium
ASSET-153,Cloud-Resource-153,IAM,Yes,12,Yes,Medium,High,6,Outdated,Yes,Yes,8,5,68,High
ASSET-154,Cloud-Resource-154,VPC,Yes,13,Yes,Low,High,5,Updated,No,No,10,5,67,High
ASSET-155,Cloud-Resource-155,IAM,No,8,No,Low,Medium,7,Updated,No,Yes,6,4,49,Medium
ASSET-156,Cloud-Resource-156,EC2,Yes,7,Yes,Medium,Medium,9,Updated,No,No,9,5,61,High
ASSET-157,Cloud-Resource-157,RDS,No,13,No,Medium,Low,5,Updated,No,Yes,9,3,43,Medium
ASSET-158,Cloud-Resource-158,VPC,Yes,7,Yes,Low,Low,3,Outdated,No,No,6,5,64,High
ASSET-159,Cloud-Resource-159,IAM,Yes,4,No,Medium,High,3,Outdated,No,Yes,10,5,67,High
ASSET-160,Cloud-Resource-160,S3,Yes,4,Yes,Medium,Medium,0,Outdated,Yes,No,10,3,43,Medium
ASSET-161,Cloud-Resource-161,IAM,Yes,1,Yes,High,Medium,1,Outdated,Yes,No,8,4,48,Medium
ASSET-162,Cloud-Resource-162,VPC,Yes,7,No,Medium,High,10,Updated,No,No,8,7,84,Critical
ASSET-163,Cloud-Resource-163,S3,No,2,No,High,High,9,Updated,No,Yes,7,5,67,High
ASSET-164,Cloud-Resource-164,Lambda,Yes,6,Yes,High,Medium,8,Updated,Yes,Yes,10,4,48,Medium
ASSET-165,Cloud-Resource-165,VPC,Yes,14,Yes,Medium,High,8,Updated,Yes,No,5,5,61,High
ASSET-166,Cloud-Resource-166,RDS,Yes,18,No,Medium,High,9,Outdated,No,No,2,8,100,Critical
ASSET-167,Cloud-Resource-167,S3,No,12,Yes,Low,High,1,Updated,No,No,7,4,53,High
ASSET-168,Cloud-Resource-168,IAM,No,8,Yes,High,Low,5,Updated,No,No,1,4,58,High
ASSET-169,Cloud-Resource-169,S3,Yes,14,Yes,Medium,Low,10,Updated,No,No,3,5,61,High
ASSET-170,Cloud-Resource-170,EC2,Yes,20,No,Low,High,1,Updated,Yes,No,3,5,61,High
ASSET-171,Cloud-Resource-171,IAM,Yes,0,No,High,Medium,8,Outdated,No,Yes,5,6,76,Critical
ASSET-172,Cloud-Resource-172,S3,Yes,5,No,High,Medium,3,Updated,Yes,No,5,4,52,High
ASSET-173,Cloud-Resource-173,IAM,Yes,16,No,Medium,Medium,4,Outdated,Yes,Yes,1,4,55,High
ASSET-174,Cloud-Resource-174,Lambda,No,19,No,Low,High,6,Outdated,No,Yes,2,6,74,High
ASSET-175,Cloud-Resource-175,IAM,No,4,No,Low,Low,0,Updated,No,Yes,8,2,24,Low
ASSET-176,Cloud-Resource-176,S3,Yes,1,Yes,Medium,High,5,Outdated,Yes,No,4,4,49,Medium
ASSET-177,Cloud-Resource-177,RDS,No,5,No,Medium,High,6,Updated,No,Yes,4,4,56,High
ASSET-178,Cloud-Resource-178,IAM,Yes,17,Yes,Medium,Medium,0,Outdated,No,Yes,3,4,52,High
ASSET-179,Cloud-Resource-179,RDS,No,6,No,Medium,Medium,1,Updated,Yes,No,7,3,42,Medium
ASSET-180,Cloud-Resource-180,S3,Yes,7,Yes,Low,Low,9,Updated,Yes,Yes,6,3,39,Medium
ASSET-181,Cloud-Resource-181,Lambda,Yes,15,No,High,Low,10,Outdated,Yes,No,3,7,89,Critical
ASSET-182,Cloud-Resource-182,VPC,No,14,No,Low,High,9,Outdated,No,No,10,7,87,Critical
ASSET-183,Cloud-Resource-183,S3,No,17,Yes,High,Medium,8,Updated,Yes,Yes,8,3,46,Medium
ASSET-184,Cloud-Resource-184,S3,No,15,Yes,Medium,Low,1,Outdated,Yes,Yes,10,2,25,Medium
ASSET-185,Cloud-Resource-185,Lambda,No,13,No,Medium,Low,4,Updated,Yes,No,9,3,38,Medium
ASSET-186,Cloud-Resource-186,VPC,No,10,No,Low,High,10,Outdated,No,Yes,4,6,81,Critical
ASSET-187,Cloud-Resource-187,IAM,Yes,13,Yes,Low,High,7,Outdated,Yes,Yes,6,5,64,High
ASSET-188,Cloud-Resource-188,RDS,No,3,Yes,Low,Medium,5,Outdated,Yes,Yes,5,1,13,Low
ASSET-189,Cloud-Resource-189,Lambda,No,6,No,Medium,Medium,1,Outdated,Yes,Yes,2,3,41,Medium
ASSET-190,Cloud-Resource-190,VPC,No,19,No,Low,High,7,Outdated,Yes,Yes,6,5,68,High
ASSET-191,Cloud-Resource-191,IAM,Yes,14,Yes,Medium,Low,4,Updated,Yes,Yes,9,2,26,Medium
ASSET-192,Cloud-Resource-192,S3,No,0,No,Low,High,5,Updated,No,No,10,4,55,High
ASSET-193,Cloud-Resource-193,RDS,No,10,Yes,Medium,High,6,Updated,Yes,Yes,6,3,45,Medium
ASSET-194,Cloud-Resource-194,S3,No,11,Yes,Medium,Medium,5,Outdated,No,Yes,5,3,44,Medium
ASSET-195,Cloud-Resource-195,RDS,No,19,No,High,High,4,Updated,No,Yes,10,5,68,High
ASSET-196,Cloud-Resource-196,RDS,Yes,5,No,Low,High,2,Outdated,Yes,No,3,5,61,High
ASSET-197,Cloud-Resource-197,S3,Yes,15,No,Low,Low,4,Updated,Yes,Yes,2,3,42,Medium
ASSET-198,Cloud-Resource-198,RDS,No,14,No,Medium,High,0,Updated,Yes,Yes,10,3,40,Medium
ASSET-199,Cloud-Resource-199,RDS,Yes,13,Yes,Medium,Medium,9,Updated,No,Yes,10,4,56,High
ASSET-200,Cloud-Resource-200,RDS,No,2,No,Medium,Medium,2,Updated,Yes,No,10,2,30,Medium
ASSET-201,Cloud-Resource-201,IAM,Yes,4,Yes,High,Medium,10,Updated,Yes,No,2,4,48,Medium
ASSET-202,Cloud-Resource-202,S3,Yes,4,No,High,High,2,Outdated,No,No,3,7,93,Critical
ASSET-203,Cloud-Resource-203,Lambda,No,17,No,Low,Low,8,Outdated,No,Yes,8,5,64,High
ASSET-204,Cloud-Resource-204,RDS,No,18,Yes,High,High,9,Updated,No,Yes,8,5,68,High
ASSET-205,Cloud-Resource-205,VPC,Yes,18,No,High,High,4,Updated,Yes,No,9,6,82,Critical
ASSET-206,Cloud-Resource-206,IAM,No,15,Yes,Medium,High,10,Updated,No,Yes,10,4,57,High
ASSET-207,Cloud-Resource-207,Lambda,No,10,Yes,High,Medium,6,Outdated,Yes,Yes,1,4,48,Medium
ASSET-208,Cloud-Resource-208,EC2,Yes,9,No,Low,Medium,7,Outdated,No,No,5,7,90,Critical
ASSET-209,Cloud-Resource-209,EC2,Yes,15,No,Low,Medium,0,Updated,No,Yes,2,4,51,High
ASSET-210,Cloud-Resource-210,EC2,No,2,No,High,High,5,Updated,No,No,4,5,63,High
ASSET-211,Cloud-Resource-211,VPC,Yes,10,No,High,High,1,Outdated,Yes,No,9,7,93,Critical
ASSET-212,Cloud-Resource-212,Lambda,No,10,Yes,High,High,10,Outdated,No,No,4,7,92,Critical
ASSET-213,Cloud-Resource-213,RDS,Yes,3,Yes,Medium,Medium,4,Updated,No,Yes,2,2,29,Medium
ASSET-214,Cloud-Resource-214,EC2,No,10,No,Medium,High,1,Updated,Yes,Yes,2,3,39,Medium
ASSET-215,Cloud-Resource-215,S3,No,16,Yes,Low,Medium,10,Outdated,Yes,Yes,7,3,44,Medium
ASSET-216,Cloud-Resource-216,EC2,Yes,2,No,Medium,High,1,Outdated,No,No,2,6,72,High
ASSET-217,Cloud-Resource-217,Lambda,No,12,Yes,Medium,Medium,1,Outdated,Yes,Yes,4,2,28,Medium
ASSET-218,Cloud-Resource-218,VPC,Yes,16,No,High,High,7,Outdated,No,Yes,3,8,100,Critical
ASSET-219,Cloud-Resource-219,IAM,Yes,5,No,Low,Low,1,Updated,No,No,2,4,50,High
ASSET-220,Cloud-Resource-220,IAM,No,5,Yes,High,Medium,10,Updated,Yes,Yes,8,2,30,Medium
ASSET-221,Cloud-Resource-221,RDS,No,3,No,Medium,Low,6,Outdated,Yes,Yes,2,3,45,Medium
ASSET-222,Cloud-Resource-222,EC2,Yes,7,Yes,High,High,8,Updated,Yes,Yes,6,5,68,High
ASSET-223,Cloud-Resource-223,IAM,Yes,15,No,High,Medium,5,Outdated,No,No,3,7,88,Critical
ASSET-224,Cloud-Resource-224,Lambda,Yes,15,No,Medium,Medium,4,Updated,No,No,8,5,65,High
ASSET-225,Cloud-Resource-225,EC2,Yes,1,Yes,Medium,Medium,2,Updated,Yes,Yes,1,1,12,Low
ASSET-226,Cloud-Resource-226,VPC,Yes,5,No,Medium,Low,0,Outdated,No,No,4,5,68,High
ASSET-227,Cloud-Resource-227,RDS,Yes,0,No,Medium,Low,1,Outdated,No,Yes,2,4,55,High
ASSET-228,Cloud-Resource-228,Lambda,Yes,8,Yes,Medium,High,8,Outdated,Yes,Yes,2,5,62,High
ASSET-229,Cloud-Resource-229,EC2,Yes,14,No,Low,High,2,Updated,Yes,No,5,5,61,High
ASSET-230,Cloud-Resource-230,S3,No,17,Yes,High,Medium,8,Updated,No,Yes,6,4,50,High
ASSET-231,Cloud-Resource-231,RDS,No,3,Yes,Medium,Low,2,Outdated,Yes,No,6,2,24,Low
ASSET-232,Cloud-Resource-232,S3,Yes,13,No,Medium,Low,2,Outdated,No,Yes,1,5,69,High
ASSET-233,Cloud-Resource-233,IAM,Yes,19,Yes,High,Low,2,Updated,Yes,No,5,4,50,High
ASSET-234,Cloud-Resource-234,VPC,No,15,Yes,Low,High,1,Outdated,No,No,10,5,65,High
ASSET-235,Cloud-Resource-235,VPC,No,9,Yes,High,Medium,1,Updated,No,No,9,4,54,High
ASSET-236,Cloud-Resource-236,EC2,No,0,Yes,High,Medium,5,Outdated,No,No,2,4,48,Medium
ASSET-237,Cloud-Resource-237,VPC,No,14,Yes,Low,Medium,6,Outdated,Yes,No,3,4,55,High
ASSET-238,Cloud-Resource-238,Lambda,No,15,Yes,High,High,2,Outdated,Yes,No,1,5,65,High
